"Front";"Back"
"<h2>3.11 What does ""dev"" actually mean, and who is a devta?</h2>";"<p>Dev comes from the root ""div"" — to illuminate. A dev is not an external sky-deity but <strong>one who is near atma and therefore bathed in its light.</strong> Atma is pure prakash (light) — not radiation, but that which dispels ignorance and reveals things as they are. Devtva = the resolve of aham to turn its face toward atma. Just as turning toward the sun illuminates your face, turning toward atma is what makes someone ""divine.""</p>"
"<h2>3.9 What is gat-sang, and why does letting go require courage?</h2>";"<p>Gat-sang = seeing clearly that a particular attachment cannot lead to atma, and moving beyond it. But here is the difficulty: <strong>full certainty never arrives before the sacrifice.</strong> You cannot sit in a corner and fully prove something is worthless before dropping it. At the moment of letting go, some feeling of its value remains. Bodh says ""worthless,"" but moha says ""precious."" This is why yagya always involves a little dard (pain) — if it didn't hurt, it wasn't real yagya.</p>"
"<h2>3.10 What are the three types — pashu, durachari, mithyachari — and their hierarchy?</h2>";"<p><strong>Pashu:</strong> Operates from prakriti's center only. No pretense, no sin. An anaconda swallowing a deer has a kind of innocence — it's a machine doing what it does. No punya, no paap.<br><br><strong>Durachari:</strong> A human who chooses the animal center but makes no pretense about it. Bad, but redeemable — at least transparent.<br><br><strong>Mithyachari:</strong> A human who chooses the animal center AND wears a mask of virtue. Worst of the three — actively deceiving, and through self-deception, drifting furthest from self-knowledge.</p>"
"<h2>3.12 Why is the greatest sadhana simply watching the one who says ""grab it""?</h2>";"<p>Many sadhanas exist: silence, stillness, fasting, walking. But the highest is <strong>constant self-observation</strong> — the moment the inner voice says ""pakdo"" (grab it), catch it: ""Kaun bola? Main bola."" Not to attack the aham — it's not your enemy, it's your own pet monkey. Don't beat it, but don't let it run your meditation either. Just seeing is enough. Knowing is sufficient. The child playing hide-and-seek pops its head out — you don't grab it, you just spot it. That's the whole game.</p>"
"<h2>3.9 What is the real meaning of yagya?</h2>";"<p>Not literal fire ritual — agnihotra is only a <strong>symbol</strong> (like an election symbol represents a candidate but doesn't become one). Yagya = sacrificing the lower for the higher. Every moment you choose a higher vishay over a lower one, that is yagya. The physical ritual points toward this: offer what is small to gain what is great. The ultimate destination of yagya is complete mukti.</p>"
"<h2>3.6-7 What does it mean to be ""prakritisth""?</h2>";"<p>Whenever anything in the world becomes gravely important to you — an insult, a desire, a worry, bodily needs — you are prakritisth. It's not a special state. It's simply giving weight to anything that arises in mind: name, form, thought, emotion. That weight IS the wrong choice.</p>"
"<h2>3.11 Why does the verse say ""mutual growth"" between you and devtva?</h2>";"<p>A positive feedback loop: you give resources to your inner light (yagya) → your aham shifts closer to light → from that new position, your karm naturally becomes more kalyanmukhi → which further strengthens devtva. ""Tum usko badhao, wo tumko badhayega."" Like investing in the right stock — its value rises, and since it's your share, your wealth rises too. This is the meaning of ""parasparam bhavayantah shreyah param avapsyatha.""</p>"
"<h2>3.13 Why is yagya a declaration of freedom — not helplessness?</h2>";"<p>Sartre said ""Man is condemned to be free."" You can choose anything, but you cannot choose not to choose. Even choosing not to act was your choice. <strong>Yagya is the assertion that swaha is always possible</strong> — in the worst circumstances, in the deepest mess, you can still offer everything to the fire. No one is truly stuck. The one freedom you cannot escape is the freedom to choose between prakriti and atma. This is both your only bondage and your only liberation.</p>"
"<h2>3.1 What are the four pairings of knowledge and action, and which is the only true one?</h2>";"<ol><br><li>Ignorance + Inaction — doubly false (no true ignorance, no true inaction)</li><br><li>Ignorance + Action — the common worldly person (sakaam karma)</li><br><li>Knowledge + Inaction — the false renunciant (what Arjun wants)</li><br><li><strong>Knowledge + Action</strong> — the only true pairing (turiya). The other three are all fraud.</li><br></ol>"
"<h2>3.8 What are the three levels of consciousness regarding karm?</h2>";"<ol><br><li><strong>Adharmik chitt:</strong> Fully identified as karta, acting for bhog. Dives into every sense object expecting sweet fruits.</li><br><li><strong>Dharmik chitt:</strong> The seeker/warrior. Acts with the intention of dissolving karta bhaav. ""If I must act, I'll do karm that ends my doership.""</li><br><li><strong>Mukt:</strong> Sees the entire drashta-drishya game as childish. No participation needed.</li><br></ol>"
"<h2>Why can't jnana yoga, karma yoga, and bhakti yoga be separate paths?</h2>";"<p>Knowledge that doesn't become action is false. Action without knowledge is blind (sakaam). And knowledge can't arise without love (bhakti) — you must want liberation before it comes. They are one inseparable movement, not three choices.</p>"
"<h2>3.1 What is the most practical form of self-observation?</h2>";"<p>Karm avalokan (action observation). The hierarchy from subtlest to easiest: vritti → bhaav → vichaar → karm. Thoughts require some meditation to observe, emotions arise involuntarily, but your actions — even a CCTV can see those. Start there.</p>"
"<h2>3.6-7 Why does forced external restraint eventually explode?</h2>";"<p>The pressure cooker effect: when the mind boils with desire but karmendriyas are forcibly suppressed, periodic release becomes necessary. The ""pious"" person who needs to escape periodically reveals the truth — asahaj sanyam (unnatural restraint) cannot hold forever.</p>"
"<h2>How does the knower relate to right action?</h2>";"<p>The knower doesn't <em>do</em> right action — they stop obstructing it. Right action is self-arising (like rain from clouds). The ego's only contribution is interference. ""Get out of your own way.""</p>"
"<h2>3.1 Why can't jnana yoga, karma yoga, and bhakti yoga be separate paths?</h2>";"<p>Knowledge that doesn't become action is false. Action without knowledge is blind (sakaam). And knowledge can't arise without love (bhakti) — you must want liberation before it comes. They are one inseparable movement, not three choices.</p>"
"<h2>3.9 What is karm bandh?</h2>";"<p>The arrangement where you must <strong>remain as you are</strong> in order to receive the fruit of past karma. Like staying home for a courier while everyone else goes to a festival. You did sakaam karm, so now you must: (1) survive unchanged until the result arrives, (2) stay in the same place/condition, (3) be affected by whatever the result brings — sukh or dukh. This locks you into a downward spiral: vishay → karm → waiting → vishm phal → new vishay at the same level. Yagya breaks this cycle.</p>"
"<h2>3.9 Why is searching for atma in prakriti like a 2nd grader searching for a PhD thesis?</h2>";"<p>A child in 2nd grade is told to find their father's doctoral thesis. They search their own school bag — worksheets, textbooks, homework. They'll search for a lifetime and never find it, because the bag only contains things at their level. Similarly, prakriti is your own reflection (Ashtavakra's teaching) — it only contains things at your level of consciousness. Looking for atma in prakriti is searching for the transcendent inside a mirror of yourself.</p>"
"<h2>What is Arjun's trick in Gita 3.1, and what does it reveal?</h2>";"<p>Krishna praised knowledge to inspire right action. Arjun flips this: ""If knowledge is supreme, I'll just be a knower — no need to fight."" He weaponizes the teaching to serve his existing desire (avoidance). The ego will co-opt even spiritual teachings to protect itself.</p>"
"<h2>3.1 How can you verify whether someone (including yourself) has knowledge?</h2>";"<p>Look at their actions. Knowledge absence can't be detected directly (unlike a missing towel), so false claims of knowledge are easy. But if daily actions are desire-driven (sakaam), there is ignorance — no matter what is claimed.</p>"
"<h2>3.1 Why is ""knowledge without action"" a self-contradiction?</h2>";"<p>True knowledge is like the sun — if it exists, light (action) is inevitable. You can't lock the sun in a room. If knowledge doesn't show in your life as nishkaam karma, it was never real knowledge — just a claim.</p>"
"<h2>How can you verify whether someone (including yourself) has knowledge?</h2>";"<p>Look at their actions. Knowledge absence can't be detected directly (unlike a missing towel), so false claims of knowledge are easy. But if daily actions are desire-driven (sakaam), there is ignorance — no matter what is claimed.</p>"
"<h2>3.10 Why is mithyachari (hypocrite) worse than durachari (openly wicked)?</h2>";"<p>Durachari is openly dark — ""tan man ek hi rang."" Their evil is visible, and they at least don't pretend. Mithyachari deceives others with a pious exterior while rotting inside. The deeper danger: <strong>the lie boomerangs.</strong> The Mulla Nasruddin story — he tells children there's a feast in town to get rid of them, then starts running there himself (""what if it's true?""). If you care enough about others' opinions to deceive them, you'll inevitably start believing your own propaganda. Deceiving others is guaranteed self-deception.</p>"
"<h2>What are the four pairings of knowledge and action, and which is the only true one?</h2>";"<ol><br><li>Ignorance + Inaction — doubly false (no true ignorance, no true inaction)</li><br><li>Ignorance + Action — the common worldly person (sakaam karma)</li><br><li>Knowledge + Inaction — the false renunciant (what Arjun wants)</li><br><li><strong>Knowledge + Action</strong> — the only true pairing (turiya). The other three are all fraud.</li><br></ol><br><hr/><br><br>3.1"
"<h2>3.13 Why did India decline despite having the Gita?</h2>";"<p>Because the shloka never became a <strong>sutra</strong> (tool/formula). A shloka remembered but not applied is like a diamond used as a paperweight — all weight, no value. Or like a room with full electrical infrastructure but no one pressing the switch — same darkness as a cave. The gap between shloka and sutra is the gap between patthar (stone) and heera (diamond). Premature shraddha killed the jignyasa. Heads bowed for 20 generations without understanding; now the new generation rejects without reading. Both share one disease: neither actually engaged.</p>"
"<h2>3.12 What is mukti really — and why do saints sing?</h2>";"<p>Mukti is waking from a nightmare. In the dream, someone died — it was absolutely real. Then you wake up. <strong>No one had died. Nothing had happened.</strong> That relief — ""jaan mein jaan aayi"" — is what mukti feels like. Saints sing not because they gained something, but because they were released. ""Kya mila? Rihaai."" Ahimsa = rihaai. Satya = rihaai. Aparigraha = rihaai. And the deepest joke: mukti is the last lie. After it, no more lies remain.</p>"
"<h2>3.11 What is the scale model of aham — how does investment determine identity?</h2>";"<p>Imagine a 100-unit scale: prakash (light) on one end, andhkar (darkness) on the other. If you give 80 to darkness and 20 to light, your aham's center of gravity shifts to the dark end — you <em>become</em> situated there. This is mathematical and automatic. <strong>You settle where you invest.</strong> The choice is yours only at the point of allocation; once invested, the consequence (your location on the axis) is karm phal — no longer in your hands. ""Boye ped babool ke, aam kahaan se khaye?""</p>"
"<h2>3.10 Why does the durachari get liberated before the mithyachari?</h2>";"<p>Angulimal came with a sword. The snake bit Mahavir. Ravan kidnapped Sita. All came face-to-face with truth — and were transformed. Open dushtta (wickedness) brings you before the divine, even if in rage. The mithyachari never arrives — they've turned their back to atma and placed a mask on the back of their head so the world thinks they're looking forward. You can come with a weapon, with poison, with curses — just come. ""Nazar mila lo, kaam ho jaata hai.""</p>"
"<h2>3.8 What is the paradox of niyat karm?</h2>";"<p>The karta must do karm that destroys the karta itself. Karm's journey began at birth; its destination is the end of the doer. And this karm cannot feel pleasant to the ego — if you ask the karta ""how does it feel?"" during niyat karm, the honest answer is: not good. Feelings are not the compass here.</p>"
"<h2>3.3-5 What is the tank-and-tap principle?</h2>";"<p>If the tank (inner self) is polluted, every tap (action) produces polluted water. You can't fix individual taps while the source is contaminated. This is why <em>all</em> actions from an unconscious person are wrong — not just some.</p>"
"<h2>3.3-5 Why doesn't stopping action lead to desirelessness?</h2>";"<p>Desire sits inside; action is just its expression. Suppressing the tap doesn't purify the tank. If desire lives within, it will color every action — stopping one karma doesn't touch the kaamna beneath it.</p>"
"<h2>3.3-5 What are the two types of karm and what births each?</h2>";"<p><strong>Sakaam karm</strong> — born from incompleteness. ""I was so miserable I <em>had</em> to do something."" Requires claiming ownership (karta bhaav) because result is needed.<br><br><strong>Nishkaam karm</strong> — born from wholeness. ""I was so joyful something <em>happened through me</em>."" No ownership needed because nothing is being sought.</p>"
"<h2>3.9 Why does sahaj aacharan come from forgetting, not practice?</h2>";"<p>Practice (abhyas) means constantly remembering — keeping a worldly thing alive in memory. But sahajta means <strong>forgetting</strong> — the rules, the norms, the self-image. Whatever can be remembered is necessarily bhautik (material); memory cannot hold atma. The truly spontaneous person acts not because they remembered the right thing to do, but because they forgot everything that was in the way.</p>"
"<h2>3.11 What is the liberation formula hidden in the investment principle?</h2>";"<p><strong>Stop feeding your bondage.</strong> It held you not out of love but because you were useful — a source of nourishment. The moment you stop giving, it releases you on its own: ""zara door ja ke basiye."" Then redirect those resources toward prakash. This is yagya: withdraw from the wrong stock (even at a loss — swaha), reinvest in the right one. Triple loss of wrong investment: (1) resources wasted, (2) forced to live near darkness, (3) missed the light entirely.</p>"
"<h2>3.8 What is karta bhaav and why is it a delusion?</h2>";"<p>Prakriti is drashta (seer) and drishya (seen) mutually changing each other — an interaction, not a one-way act. The ego falsely claims credit for changes that are co-produced. Like getting green paint on your glasses at Holi and declaring ""I turned the world green."" You didn't cause it — it happened to you.</p>"
"<h2>3.3-5 What is the fundamental question swap that defines spirituality?</h2>";"<p>Replace ""Kya karoon?"" (What should I do?) with ""Kaun hoon?"" (Who am I?). The first question keeps you at the surface of action. The second takes you to the source — and from the right source, right action arises on its own.</p>"
"<h2>What is the most practical form of self-observation?</h2>";"<p>Karm avalokan (action observation). The hierarchy from subtlest to easiest: vritti → bhaav → vichaar → karm. Thoughts require some meditation to observe, emotions arise involuntarily, but your actions — even a CCTV can see those. Start there.</p>"
"<h2>3.13 What is the simplest method to stop bhog?</h2>";"<p>Bhog requires ignorance. You can only consume what you don't fully understand. <strong>Don't say ""I won't enjoy it"" — say ""Let me know it a little more first.""</strong> Ask the vishay: ""Tell me more about yourself."" As it reveals itself, your attraction cools. Knowing is the natural enemy of consuming. And knowing is inevitable (Sartre: you're condemned to be free, and condemned to eventually know). The tragedy is knowing too late — after you've already signed the contract of bhog.</p>"
"<h2>3.8 What does Kabir mean by ""chook chakri maahi""?</h2>";"<p>""Sahab ke darbaar mein kami kahu ki naahi, banda mauj na pavahi, chook chakri maahi."" There is no shortage of joy in existence. If you're not experiencing it, the deficiency is in your seva (devotion/service) — your attention was split, your loyalty divided. Joy is always fully available; it's your commitment that's partial.</p>"
"<h2>3.10 What is the ego's most powerful defense against truth?</h2>";"<p>Not hostility — <strong>indifference.</strong> The ego has no shield when face-to-face with atma; it falls the moment eyes meet. So its deepest strategy is to never show up. The guru's only real defeat is when the student refuses to come at all. This is why masters have sometimes deliberately provoked hatred — even enemies must come face-to-face. ""Ranjish hi sahi, dil dukhane ke liye aa"" — come even to break my heart, but come. Hostility, accusations, even violence — all are workable. Absence is not.</p>"
"<h2>3.10 What does the verse say about creation and yagya?</h2>";"<p>Prajapati created beings <strong>together with yagya</strong> — meaning the mechanism for liberation is built into existence itself. You are not born without a way out. From the very beginning, the means of rising (nishkaam karm) has been woven into the fabric of creation. Yagya is not something imposed later by scripture — it is as old and as fundamental as life itself.</p>"
"<h2>3.6-7 What is the difference between a mithyaachari and a sadaachari?</h2>";"<p><strong>Mithyaachari (hypocrite):</strong> Prakritisth aham → sakaam vishay smaran → asahaj upari sanyam. Restrains hands while mind feasts on sense objects. Predictable like a train on tracks.<br><br><strong>Sadaachari (truly virtuous):</strong> Atmasth aham → atma avalokan + nishkaam chintan → sahaj nirbadh gati. Inner alignment, so outer action flows freely. Unpredictable like a mountain river.</p>"
"<h2>3.6-7 Why is the sadaachari's life unpredictable?</h2>";"<p>The mithyaachari is fully predictable — everyone knows what they'll do next, and both sides play a comfortable mutual charade. The sadaachari is like a mountain river: sometimes turning left, sometimes right, sometimes childlike, sometimes terrifyingly sharp. No mental framework can contain them. This is why saints have been called ""deewaana"" — the mad ones.</p>"
"<h2>3.12 Why is prakriti not dirty — and what actually makes things dirty?</h2>";"<p>Vedanta does not condemn prakriti. Prakriti has its own beauty when you remain its witness. <strong>It becomes polluted only when your vasna touches it.</strong> Like a child dipping fingers in the glass of water — the water (H2O) is still pure; your touch made it unclean <em>for you.</em> Kusangati is not about the object being bad — any object becomes harmful the moment you grasp it with the intention to consume. ""Baat uski nahi, iski hai"" — the problem is never in the object, always in the one who grasps.</p>"
"<h2>3.1 Why is ""knowledge without action"" a self-contradiction?</h2>";"<p>True knowledge is like the sun — if it exists, light (action) is inevitable. You can't lock the sun in a room. If knowledge doesn't show in your life as nishkaam karma, it was never real knowledge — just a claim.</p>"
"<h2>3.13 What is prasad — and why does giving produce more than keeping?</h2>";"<p>Two meanings: <strong>Sthool</strong> — what remains for the body after yagya; always sufficient, because the body never needed much. <strong>Sookshm</strong> — the anand that arises from giving itself. You gave everything to the fire, yet trupti keeps flowing. This joy <em>is</em> the prasad. And unlike material things, it multiplies when shared. ""Poornasya poornmadaya poornameva avashishyate"" — take everything from the full, and fullness remains. This is the mind's law.</p>"
"<h2>3.8 Why does the ego cling to causation?</h2>";"<p>The karta can only exist if it is a cause. No causation = no karta = ego death. So the ego projects causality even onto randomness. Prakriti is fundamentally random (like scattered rice grains following a normal distribution) — but accepting randomness is intolerable to the ego because it would make the ""doer"" meaningless.</p>"
"<h2>3.11 Why must yagya hurt — and why is painless sacrifice not real sacrifice?</h2>";"<p>When you withdraw investment from darkness (sell the wrong stock), <strong>you must sell at a loss.</strong> You won't get to wait until it ""feels worthless"" — that day never fully comes. At the moment of letting go, the thing still appears valuable; moha still whispers ""keep it."" If giving something up felt easy and obvious, it wasn't yagya — it was just discarding trash. Real yagya means the heart trembles as the hand offers. The pain is the proof of authenticity. ""Nuksan hota ho to bhi bech do"" — sell even at a loss, and reinvest where it matters.</p>"
"<h2>3.10 What is the paradox of fulfilling desire?</h2>";"<p>Forget all your desires, and your <strong>central desire</strong> gets fulfilled. You don't want what you think you want — proof: you want to <em>forget</em> what you want. If desires brought joy, why would you crave relief from them? The wanting itself is dukh. This is exactly what Buddha taught: life is suffering, and the eightfold path ends at freedom from kaamna. Nishkaam karm is the only way to fulfill desire — by ceasing to chase it.</p>"
"<h2>3.8 What is the true definition of niyat karm?</h2>";"<p>Not ""scripture-prescribed ritual."" Niyat = niyati = destiny = mukti. So niyat karm = that which leads to liberation. Similarly, shastra = only that which leads to mukti. Dharma = only that which frees the aham. All three words collapse to the same single meaning.</p>"
"<h2>3.13 Why is paap always against yourself — never against others?</h2>";"<p>The thief punishes himself the moment he becomes the kind of person who steals. Legal punishment is just a <strong>sthool reminder</strong> of the sookshm damage already done. Paap = any decision that deepens your apoornata (incompleteness). Declaring yourself helpless — paap. Declaring yourself dependent — paap. Declaring yourself a victim of circumstances — paap. Punya has only one meaning: choices that move aham toward poornata. No external ritual can undo what you've done to your own chetna.</p>"
"<h2>3.9 What is sahajachari, and why is it a better term than sadachari?</h2>";"<p>The true opposite of mithyaachari is not sadachari (socially virtuous) but <strong>sahajachari</strong> (spontaneous conduct). Sadachari suggests conformity to social/moral norms. Sahajachari means acting from inner freedom — no rehearsal, no restraint, no performance. A Zen master was asked how to endure heat and cold: ""When cold, be cold. When hot, be hot."" This is sahaj aacharan — the one anchored in atma has no need to manage prakriti.</p>"
"<h2>3.12 How does your grip make even the infinite small?</h2>";"<p>Try to grab the sky — your fist catches a handful. <strong>Whatever aham clutches becomes small.</strong> Say ""my atma"" and atma shrinks to your size. Great avatars become household trinkets the moment they become ""your deity"" — good only for kaamna-purti and causing riots. Even the infinite, if truly infinite, is already inside and outside you — why grab what you're already within? Yagya means stopping this arrogance: ""Chhod diya toh chhod ke pa liya. Pakdoge toh kho jayega.""</p>"
"<h2>3.12 What is the real meaning of yagya — what are you actually offering?</h2>";"<p>Not ghee. Not fruit. Not a goat. <strong>You are offering your pakad (grip).</strong> Every dharmic tradition says ""let go,"" but people misunderstand — they think the object is sinful, so they sacrifice some external thing. The Eid sacrifice was meant to be about giving up your son (what you're attached to), not slaughtering a goat you had no bond with. Yagya = loosening your grip on whatever you've been clutching. The object was never the problem. Your grip was.</p>"
"<h2>3.11 Why does feeding something create bondage?</h2>";"<p>Whatever you feed — time, emotion, money, attention — <strong>captures you to keep getting fed.</strong> A new car: you invest in it, so you lock it, guard it, think about it constantly. It now occupies your mind — you've settled near it. Bondage isn't random misfortune; you purchased it yourself. And the thing you feed will never willingly release you, because your departure means its starvation. This is why bandhan tightens the more you give.</p>"
"<h2>3.12 Who is a ""chor"" (thief) according to Krishna?</h2>";"<p>A chor is one who grasps the parai (foreign). Of the three — atma, aham, prakriti — prakriti is parai for aham. Aham's true relationship is prem with atma; its relationship with prakriti is moh. To consume prakriti without first performing yagya (releasing your grip) is theft — stealing from a realm that was never yours. Saints use the metaphor: prakriti is naihar (maiden home, the body's origin), atma is piya ka ghar (beloved's home). If you go to piya's house but only engage with the body, you never actually left naihar.</p>"
"<h2>3.1 What is Arjun's trick in the first shloka, and what does it reveal?</h2>";"<p>Krishna praised knowledge to inspire right action. Arjun flips this: ""If knowledge is supreme, I'll just be a knower — no need to fight."" He weaponizes the teaching to serve his existing desire (avoidance). The ego will co-opt even spiritual teachings to protect itself.</p>"
"<h2>3.9 What is the right attitude toward prakriti — enemy or bridge?</h2>";"<p>Prakriti is a <strong>pul</strong> (bridge) to cross, not an enemy to destroy. The traveler bows before stepping on the bridge and bows again after crossing. ""Tum na hoti to tumse aage kaise badhte? Maa."" If you treat prakriti as an obstacle, the fault is yours — she offered both majhdhar (rapids) and patwar (oar). Maya is not Satan: ""Ek milave Ram se, duji narak le jaye."" The same maya can unite you with Ram or drag you to hell. The choice is yours.</p>"
"<h2>3.11 What is the only valid meaning of ""vriddhi"" (growth/progress)?</h2>";"<p>Vriddhi, pragati, unnati, tarakki, vikas — all mean only one thing: <strong>movement toward satya/mukti.</strong> If your gati is not toward truth, don't call it progress. Krishna uses vriddhi specifically in the context of moving closer to atma. Anyone who uses these words loosely — ""I've made great progress"" — without reference to this axis, reveals they have no relationship with what Krishna is actually saying.</p>"
"<h2>3.13 Why does the mind's hunger work opposite to the body's?</h2>";"<p>Body fills up — eat and you're satisfied. Mind works in reverse: <strong>the more you feed it, the hungrier it gets.</strong> Whatever is present in the mind creates desire for more of itself. A shirt first enters the mind, generates craving, then lands on the body. The mind's trupti comes from <em>emptying</em>, not filling. Yagya = emptying the mind by saying swaha. The moment you let go, the hunger dies. ""Mun ko bharna hai toh mun ko khaali kar do.""</p>"
"<h2>3.9 What are the three things in Vedanta, and how do they simplify everything?</h2>";"<p>Vedanta places only three things before you: <strong>aham</strong> (the ego-self), <strong>prakriti</strong> (bondage), and <strong>atma</strong> (liberation). No 50 topics, no elaborations. Even these three reduce further — aham and prakriti are mother and son, nearly inseparable. They only begin to look different when atma enters your life. Kabir: ""Angana bhaya videsh"" — what was always your own courtyard suddenly feels like foreign land. All of Vedanta's complexity collapses into one choice: prakriti or atma.</p>"
